图像名称,类别,面积（像素²）,外接框宽度,外接框高度,最小包围圆直径,主轴长,短轴长,主轴角度,中心点X,中心点Y
11_1.jpg,Umbonated,5460.5,90,84,96.84,74.72,94.88,143.91,409.1,98.2
11_1.jpg,D-shaped,5446.0,90,84,96.77,74.39,95.48,144.09,409.2,98.2
11_1.jpg,Umbonated,3242.0,70,63,82.8,53.93,76.99,79.08,77.2,33.3
11_10.jpg,D-shaped,5776.0,89,94,103.87,81.08,90.93,23.45,234.7,222.5
11_11.jpg,Trochophore,3980.5,64,75,79.23,68.98,77.81,170.54,388.1,418.2
11_11.jpg,D-shaped,5111.0,75,93,103.48,70.31,103.38,18.73,272.8,41.4
11_11.jpg,Umbonated,5122.0,75,93,102.99,70.16,105.32,18.06,272.9,41.2
11_12.jpg,Umbonated,7790.5,104,103,121.25,95.99,101.34,154.54,672.3,316.9
11_13.jpg,Umbonated,33.0,7,7,8.49,6.62,9.63,70.55,622.2,294.2
11_14.jpg,D-shaped,5190.5,79,86,91.99,72.92,90.62,156.25,703.7,254.3
11_14.jpg,Umbonated,5126.5,79,82,91.33,73.4,90.49,152.17,703.8,255.2
11_15.jpg,Umbonated,215.5,16,27,27.86,30.22,63.75,58.9,6.9,208.4
11_15.jpg,D-shaped,5018.5,84,84,93.34,72.51,89.04,154.62,196.6,196.0
11_15.jpg,Umbonated,4986.5,77,88,91.23,71.47,88.96,160.8,196.6,196.3
11_16.jpg,D-shaped,6422.0,94,92,102.88,81.24,100.12,141.74,427.9,116.3
11_18.jpg,D-shaped,6407.5,104,84,106.16,78.76,103.77,96.39,630.6,241.8
11_18.jpg,Umbonated,6355.5,104,84,105.84,78.67,103.14,96.49,630.4,241.7
11_19.jpg,Umbonated,5165.0,91,75,93.74,70.23,92.73,77.22,554.1,175.5
11_2.jpg,Umbonated,6998.5,100,97,109.98,89.64,103.24,5.72,601.8,295.0
11_2.jpg,Umbonated,2087.0,60,48,65.31,46.75,60.44,57.2,485.1,260.0
11_20.jpg,Umbonated,1361.5,42,47,54.73,49.2,114.59,89.14,750.6,176.3
11_20.jpg,Umbonated,4022.0,70,81,89.3,63.56,95.32,169.09,399.0,441.6
11_20.jpg,Umbonated,6885.5,108,81,119.41,89.67,100.21,91.5,521.5,291.7
11_20.jpg,D-shaped,14341.5,144,155,190.4,116.31,171.4,27.2,103.1,63.6
11_21.jpg,Umbonated,7373.0,100,90,121.83,87.45,125.27,54.5,141.3,268.6
11_21.jpg,Umbonated,273.5,11,36,36.4,11.22,47.8,6.49,6.1,15.1
11_22.jpg,Umbonated,5258.0,96,72,98.76,70.47,96.25,86.86,654.4,369.2
11_23.jpg,Umbonated,6865.0,100,96,107.54,87.02,101.18,41.97,322.0,382.8
11_24.jpg,Umbonated,5001.0,76,87,91.59,73.11,88.39,7.46,663.4,305.4
11_24.jpg,Umbonated,1777.5,76,36,78.16,180.3,1094.58,149.28,238.7,15.8
11_24.jpg,Trochophore,5040.0,73,87,92.01,73.05,88.7,7.33,663.1,305.3
11_24.jpg,Umbonated,1707.0,70,36,71.75,65.44,145.97,139.59,238.1,16.0
11_3.jpg,D-shaped,4656.5,72,86,89.01,69.66,88.67,0.85,589.8,250.8
11_3.jpg,Umbonated,2298.5,67,43,72.09,50.95,66.93,84.88,603.6,20.8
11_4.jpg,Plantigrade,4229.0,68,80,91.33,62.51,89.17,35.71,299.4,56.2
11_4.jpg,Umbonated,4199.0,67,79,82.97,65.91,81.65,169.03,595.1,368.7
11_4.jpg,Umbonated,1088.0,14,105,104.81,13.85,149.04,0.14,7.6,259.3
11_4.jpg,D-shaped,10851.0,128,126,140.95,110.91,130.0,143.4,174.0,140.1
11_5.jpg,Umbonated,5832.0,96,82,101.17,76.93,99.04,85.73,512.1,324.6
11_6.jpg,Trochophore,4436.5,80,84,98.57,63.22,95.2,34.96,386.1,148.5
11_6.jpg,Umbonated,5895.5,84,92,99.19,80.64,92.83,23.05,672.1,233.0
11_6.jpg,Umbonated,4429.0,80,84,98.57,60.74,96.41,34.52,386.0,148.6
11_6.jpg,Umbonated,4172.5,104,64,114.4,56.26,112.86,91.16,373.8,463.8
11_7.jpg,Umbonated,5314.0,80,86,93.5,73.69,96.49,6.76,302.6,290.9
11_8.jpg,Umbonated,4949.0,80,83,91.92,72.42,88.14,155.26,571.7,266.8
11_8.jpg,D-shaped,4975.0,80,83,91.92,72.45,88.14,153.25,571.7,266.8
11_9.jpg,Trochophore,6110.5,84,96,99.35,80.79,95.86,6.59,224.3,392.1
11_9.jpg,Trochophore,5356.0,79,92,95.82,74.77,90.18,157.23,400.0,71.5
